x_meters,y_meters
-4.423282120500226000e+01,-5.891782600261663561e+00
-4.444454823542017152e+01,-6.344300458968632483e+00
-4.461555189594408688e+01,-6.813826155346504265e+00
-4.476737204549187510e+01,-7.289736073928466453e+00
-4.489183152894787554e+01,-7.773871421403185877e+00
-4.497749109875000784e+01,-8.265626552248733105e+00
-4.503499645991247036e+01,-8.762178026985154133e+00
-4.504321385799710953e+01,-9.261785982762489766e+00
-4.504017306959920575e+01,-9.761331403645868932e+00
-4.498988952240482320e+01,-1.025855606381497864e+01
-4.492271966212032908e+01,-1.075373598346438087e+01
-4.482219440043224523e+01,-1.124305422522229492e+01
-4.468723577333650354e+01,-1.172417024328235868e+01
-4.454228807947992408e+01,-1.220225647349093379e+01
-4.436610197761258689e+01,-1.266992889145525680e+01
-4.419315940315519953e+01,-1.313838205000337211e+01
-4.399415635833721439e+01,-1.359691034857009129e+01
-4.379909405773787512e+01,-1.405693012521383878e+01
-4.360095296278808519e+01,-1.451567868824538721e+01
-4.340335816073115893e+01,-1.497465155561360461e+01
-4.320575642506649672e+01,-1.543362260185580936e+01
-4.300820979331911076e+01,-1.589261675644974758e+01
-4.281361682825907877e+01,-1.635287869595376975e+01
-4.262077262189211524e+01,-1.681378632235056614e+01
-4.244009541805603902e+01,-1.727969031919411691e+01
-4.224403574359060798e+01,-1.773933350376324114e+01
-4.205163786059183195e+01,-1.820049993854391346e+01
-4.185633605153660142e+01,-1.866045453563954482e+01
-4.166234751078747678e+01,-1.912096636818542095e+01
-4.147229131069217090e+01,-1.958311451029997130e+01
-4.127858337926127774e+01,-2.004372173856960870e+01
-4.108522819781239122e+01,-2.050450597746128523e+01
-4.090695162504038507e+01,-2.097135153839621324e+01
-4.071214268835615968e+01,-2.143144260085640695e+01
-4.051991793292290112e+01,-2.189266034511361170e+01
-4.034884729197651865e+01,-2.236217672163836312e+01
-4.015107131777813976e+01,-2.282108207215856055e+01
-3.996057938984869651e+01,-2.328302932761681632e+01
-3.977388582844645981e+01,-2.374654114171493546e+01
-3.958367010875857517e+01,-2.420862754232617675e+01
-3.938807501272686551e+01,-2.466847346086810688e+01
-3.920284911499953040e+01,-2.513252043274121661e+01
-3.901544247260480347e+01,-2.559570974659300902e+01
-3.882149606337058856e+01,-2.605625063251176954e+01
-3.864592707886008327e+01,-2.652413294397366172e+01
-3.844395416899910600e+01,-2.698102791520592092e+01
-3.822488479323852317e+01,-2.743010953585623923e+01
-3.800273108451959558e+01,-2.787714105057678893e+01
-3.773213366089301246e+01,-2.829759128082928044e+01
-3.745384524273796245e+01,-2.871266738546137276e+01
-3.711899296800689996e+01,-2.908332138127401834e+01
-3.676573161542876989e+01,-2.943670338339252623e+01
-3.640649266311420007e+01,-2.978377310886457252e+01
-3.602432626430460516e+01,-3.010590565556469755e+01
-3.562376849009429947e+01,-3.040444981162570315e+01
-3.521637681832215350e+01,-3.069384925055742031e+01
-3.480362494738892565e+01,-3.097552645012093819e+01
-3.437228235396320031e+01,-3.122762607569062254e+01
-3.395125738635979218e+01,-3.149668004116757913e+01
-3.352298611906585535e+01,-3.175399737305060199e+01
-3.311452326861859774e+01,-3.204232694013012406e+01
-3.272940454502612084e+01,-3.236094292666776084e+01
-3.238719260686483636e+01,-3.272521016335849708e+01
-3.209628644618692306e+01,-3.313318415307794140e+01
-3.186985675445037458e+01,-3.357861868757800039e+01
-3.173637055445937705e+01,-3.406004134010037632e+01
-3.168307675893365172e+01,-3.456010966564129205e+01
-3.169716898737515010e+01,-3.506030832619359217e+01
-3.178933026987327537e+01,-3.555074033965123448e+01
-3.193034484861070865e+01,-3.603066865090134741e+01
-3.210726579329099195e+01,-3.649773352444793062e+01
